id,hour_of_a_day,category,keyword,search_steps,filters_count,results,ad_views
d265d055a5576301fc5cbca6c69be4b0,18,motoryzacja,wywrotki,2,2,93,0
468a6beb22e181e12af3a5c0a768a8d2,16,motoryzacja,,1,0,55,0
badb2b81de104d2e44caef7b4e1217b0,16,dom-ogrod,huśtawka ogrodowa,113,0,1006,7
695cb05eb48cc0a022faf6afd5e10ee3,12,sport-hobby,prologic,1,0,371,0
9d1db6a40a1f3f10caf4fd81acd532d1,7,rolnictwo,Pampa do deszczowni,1,0,0,0
40df43bdcb47aed98b63bcfaabde667c,1,rolnictwo,Gawrzyjałki,88,0,3,6
092f658150cc2197f00014ae30216c98,5,motoryzacja,,2,0,87,0
7aba2a210e69fe274d28b5f4d87e7751,18,motoryzacja,,1,4,294,0
7a636ac7ba66b87572cd3bcbe4927f99,10,motoryzacja,,10,2,19,0
671dde6088e26b4fc4a9a77ca69060ed,15,rolnictwo,,7,1,185,0
c9f305cb0fd40d02ebd4b28f494f8ed0,14,motoryzacja,,11,3,34,0
21b4c1beff1b8207810fe1d9497a2cf0,12,motoryzacja,ostrowiec świętokrzyski,82,0,994,0
c44defc83bb79bb5ecf72405d01fb662,6,nieruchomosci,,374,0,725,52
2b41c0aae13be062cec577d8739fd434,17,dom-ogrod,dwuteownik,126,0,307,9
78c929cf7419110a932ba2210098a5db,21,motoryzacja,,2,1,633,0
3620778f4a9ae1730e0d1fb3596ce7a9,14,motoryzacja,,20,1,80,1
9ab11633650fbc610574e572e4c5074a,13,sport-hobby,łódka zanętowa,5,0,27,1
9d76c605cafc7876e0678cf6ec3b031b,9,dla-dzieci,centrum zabaw,26,0,162,1
57909fe720d834f397e88ff8381de4e6,12,nieruchomosci,,3,0,20,0
f1db61c0976281259590f4ad353129f9,18,sport-hobby,rower trikowy,1,0,1,0
10df7acf8d8faaffb074535b380121b8,18,motoryzacja,,1,1,345,0
4bb5a37ae1f8375f7fbf7ea7f540da01,9,motoryzacja,mz 250,3,1,29,0
0db0ea7af5bbee450c1ae870b9388bdb,14,rolnictwo,mieszanka zbożowa,4,0,59,1
e17173099c027c9b17e254f09fd8b4fd,11,motoryzacja,,6,4,364,0
7bb1708fe42095b527fe7020f84ddf9d,14,motoryzacja,,1,2,1,0
4d14b3cb98f4d233f62524e1dffc6197,6,motoryzacja,,1,2,46,0
022aac4e8e3216c13aa38c65f3ec49f8,17,motoryzacja,iveco daily bok,6,0,20,0
21649d216c5cb58d314fa1f6f490140f,20,nieruchomosci,Fordon,24,0,7,4
98b81404692912cb83ba3c573f82f1fb,16,uslugi-firmy,pożyczki w domu,1,0,0,0
80d78cbb9c684148de30ce5b9b4852f3,21,motoryzacja,50cm,2,0,4019,0
7895c806f32e96f3b1b796c83da18408,14,motoryzacja,laguna1,40,2,29,2
f1aae965a659c98095e6a026913b2f46,12,motoryzacja,,1,1,25,0
18b4e4584c7fd6eca9dc65b2f70035bf,6,motoryzacja,,12,1,71,0
f003a659df5c7ba3c3e59a404e093406,15,motoryzacja,Mercedes w164,35,0,1,2
0493a281dd2d7420032fc30db3f66b5e,7,praca,spawacz,1,0,2,0
6ffa4d1cc541f1ded16198e971facbdb,16,sport-hobby,rower składak,6,0,24,0
0be8472a207cad6445176c9ebf5457bc,20,praca,,8,1,29,1
cc50f34b014b8454d508e1f3e7adf365,15,moda,Kurtka damska r. M,8,0,27,0
a3360ca3e0314298108125e57ac7d1d2,7,zwierzeta,shih tzu,25,0,68,1
e11cbce262e9ec3019dd5462933d959d,6,zwierzeta,litewska,18,0,5,1
bf2e73859e84b0bb6fe718485718f7d9,19,motoryzacja,,316,2,506,0
9584032d850e21972a4151493e882985,19,nieruchomosci,,71,0,30,1
a0cd46949d0c599bded0f396e1975be1,14,dom-ogrod,blacha trapezowa,46,1,176,7
8b6eeabfe7985a2a5345b3851734569a,9,rolnictwo,Krowy,1,0,110,0
da0c105a37cd3dfea4174efbd02ae28c,19,dla-dzieci,wozek 3w1,3,0,13,0
e041ce4b74194883360cd831f21dd7eb,12,motoryzacja,,7,3,186,1
78762a5a1f8dab854e69d904e1f67dc3,15,nieruchomosci,,1,1,5512,0
3dbf201bf712530fe0f4405837da270f,11,praca,wykładanie towaru,14,0,1,1
8a516561ce32095bcd3e39f249886223,11,dla-dzieci,ubranko do chrztu dla dziewczynki,2,0,0,0
04965248a9b31f01b3ab64f6e9d7d1e9,20,dla-dzieci,szumiś,19,0,183,3
f34f763c11f03a28fc46ee210a785576,18,moda,sukienka w panterkę,94,1,45,7
caf9e8b230417d5efd66b82541756382,20,motoryzacja,,2,1,1,0
770a1ace90958c0092edba98da70e52c,12,sport-hobby,walizki,1,0,2,0
f5a40ff4536c6e071ea85fe40794f58a,16,motoryzacja,,2,2,10,0
8a440477f463b4a18c6791caece86c31,5,motoryzacja,,2,0,0,0
0504ff9dc4b547739346c62d75aba7ea,19,rolnictwo,do truskawek,9,0,134,0
92b7b20f32a725df1a67a3f40ffab4ac,1,motoryzacja,chrzanów,1,0,372,0
9df60591f843d142ccace2cd1ea40227,20,dla-dzieci,spacerówka,48,0,35,2
392856c1f347eefceeda54c4f9e9fed5,11,dom-ogrod,wełna mineralna,8,0,28,0
88f43e5332b2fc7b87c12adb5b22b2e2,19,zwierzeta,Terrarium kameleon,2,0,25,0
d3f96f4488cc06df1e424584821b40a0,22,nieruchomosci,,1,0,3,0
4e3d802b202d1e5038dc8a52e03e0adc,21,motoryzacja,,7,0,11,0
33eebf8be2642da633f079b8d9733cbc,10,sport-hobby,rower,2,0,82,0
34d7d0ed6dfb7319ffb05d1ae31b3108,11,motoryzacja,,29,0,13,1
8a8640c74ba5b703f60dc78d5d04fa60,11,dom-ogrod,,97,1,387,2
680d8d29156ffc7a7d7ab34d6f0a01d3,17,praca,,61,0,236,10
3316b3ee971aef9da12d40c6730e6af9,18,motoryzacja,,1,7,5,0
45d6cb4f050706bb39dfaa9ad4115b0c,19,nieruchomosci,,214,0,44,20
ea8e7ac19c5e4faa7daebd1338ee090b,12,zwierzeta,owczarek niemiecki,1,0,152,0
f747ad6140de3aefe00746445ed773a1,14,elektronika,,13,0,72,1
f1cd5de7040214e7872d38591adf934c,4,motoryzacja,,2,3,278,0
86e249424a98448827a2ebeee34922ac,14,zwierzeta,mops bez rodowodu,1,0,23,0
26f1926ad98fa8f643dbc6e801db616c,6,nieruchomosci,,18,2,143,0
ac42b6797f866f6fc10dcb4cee37db5d,14,uslugi-firmy,skup drzewa,2,0,0,0
925886d13aba6fa9b6c028a1f1c8fd4e,15,nieruchomosci,,142,0,53,11
10669f3a3424691494c1828834076012,21,nieruchomosci,ołtaszyn,8,0,47,0
84150e2bc43862d96ced410db4a19872,17,uslugi-firmy,kurs przedłużania rzęs,1,0,3,0
c33fdff0109bfc0380827506c8f29afa,8,rolnictwo,drzewka,1,0,0,0
3c78230b867f194bfad7a962496bcad4,19,nieruchomosci,dom bytom,20,1,2,0
8f8c9612cc0078abed5778e4390caf68,16,motoryzacja,kask xs,2,0,508,0
f105ed4b461a46b5ac756e5168ff3f0d,19,motoryzacja,kredyt,1,2,129,0
b6ef67f2e078447f3c1f1b72e6df69e2,7,motoryzacja,opel frontera,22,0,9,1
e9010bd7166b21cb5887502b6dc111a7,20,moda,garmin,7,0,2,1
734d00b5702648a0577a17e3629738ee,12,motoryzacja,,25,1,52,1
79aa161a3682e23c6dc43a9714e8e952,18,motoryzacja,5x100 golf 4,3,0,779,0
1d6a4c1788e60b702acdd3d86be2275f,14,motoryzacja,,54,0,16,2
3c371772abc0de701ded073f24e65468,19,uslugi-firmy,,1,0,3,0
e4e58afeba4517b18365f8486fa28dcb,12,sport-hobby,drążek,1,0,1021,0
1925fabd04a49fea53747cc9fe262745,17,motoryzacja,audi a4 1.8 kombi,176,0,713,3
497cc452a9d08d19eb5cd7f7ee8c9d67,13,motoryzacja,audi,2,2,141,0
a49191bcae2b3fa4c275006be5fa92db,14,motoryzacja,,1,1,175,0
f52fedcf08413fd12a9bca3751ae2bf1,11,motoryzacja,bmw 318i,9,0,341,0
160652198dbdb54bad68bd9cda37aed2,19,motoryzacja,,4,5,750,0
ffe05532f75947e527883c98ce01475f,15,rolnictwo,,206,1,184,1
0b3eead51a845a9e0c29619f05f49195,15,motoryzacja,renault laguna ii,1,0,770,0
324b05dc0e59bac5d312cd8cc8493b33,4,motoryzacja,,47,0,1102,0
ec0f3f98c9decd909e9c18e4891fa512,10,nieruchomosci,,1,2,55,0
1a55f85aa86065b59bc562ca6756fa7a,20,motoryzacja,pickup,57,0,95,4
98a2a8cfb2fc1e752693fc822c090914,11,dom-ogrod,Ziemia,12,0,2035,1
2abae14307c7f07a49aba9436db40035,20,dom-ogrod,frezarka,3,1,1,0
5e0724ff90b2705041fa9731c611e371,15,motoryzacja,peugeot partner,31,0,43,3
8b7721b45934af0245b5eebee9db33a3,10,praca,,50,3,23,11
96ccc45713ecf571152e2de3bb67b8cc,17,motoryzacja,,54,2,5691,1
f881643019773dbb3019ed85d5fad566,18,motoryzacja,,60,4,129,1
1ab7810556a906aa3a0d4dcb43bba1d5,14,praca,,158,0,108,123
0012f5a97d563e1a451c776ab4f79bd6,10,dom-ogrod,mieszadło makita,1,0,0,0
2676d9ea86896dc338ef609b9a81b8df,20,rolnictwo,fendt,59,0,34,0
b0d1a3386a83aac4ec9c759525f61557,7,motoryzacja,,26,1,1465,0
9b19b08c7ecf9ec5801c769780c28c05,20,praca,,1,1,2133,0
d16bf71788ebf2d068090c8efd8a7475,15,dom-ogrod,biurko białe,3,0,0,0
1546fb038fa3bd20ff59a1ca3074f2a2,11,motoryzacja,,2,3,14,0
93c7b10316485484293fc44efaf4ae32,12,zwierzeta,wyżeł,40,0,120,3
b319fa3c062d8a26ea30888e8b0fc2e1,19,sport-hobby,jacht motorowy,122,0,169,1
ee2beba93547c4539c89f91f3f2ede33,16,motoryzacja,yamaha grizzly 700,1,0,5,0
68358465ef9d65a72ab7d578bf4b8fb4,9,motoryzacja,terenowe,69,0,8,4
d712c5518b1cfadf0b5275d1c5e6ab9c,5,nieruchomosci,,88,0,45,10
9c10d00888cd39f0ca78badcea10f4e9,13,nieruchomosci,Sosnowiec,1,0,31,0
719d9e43977fdbbc0e4212e52945981c,10,motoryzacja,transit,1,1,179,0
a5e7764993369e69d83c2e12feaa10bf,18,dla-dzieci,mata piankowa czarne,5,0,6,0
33d307c3171a536b2eafe23df361f06f,5,praca,praca zdalna,8,0,15,2
00229de4ec6dbe59ff1a2608fc589dca,16,motoryzacja,bmw 2012,24,0,1149,2
a6bedca809a362d7c1214d8105b45205,20,motoryzacja,,1,2,668,0
9d56e3d9d6f8695cfe8e29921c6f6429,16,motoryzacja,,37,1,1586,2
d50028954e426419507071cfa4265eba,17,praca,,1,0,79,0
150f1a03a2dbae4893121b1585f16b9e,17,motoryzacja,yzf r125,22,0,330,1
28432a8d3754fc28a5c110d94e4add21,14,motoryzacja,lz5t,3,0,147,0
b516c54abba544b27f98ae6b059e0238,17,dom-ogrod,Wersalka,9,0,124,0
ff96116e603178bfe6703f6c98d1501c,17,rolnictwo,pszenica,8,1,9,2
ffafb56fd020fe13f8db8fefc2aa207f,5,rolnictwo,c 360 zwolnice,2,0,67,0
e92e83b76eb9b9fee41c222a87fe314b,17,motoryzacja,audi 2.7 biturbo,148,0,197,8
660c8d8229e9a2e062a53e38cb63c828,0,elektronika,P smart 2019,2,0,375,0
97010a2f1b11ed9a2d6aa8cae222627c,18,motoryzacja,,6,6,52,0
7877aae32dac029eb688b5093c07956a,8,motoryzacja,Milówka,2,0,6,0
dda8b20b32d257226ff33b3aec550834,9,zwierzeta,labrador,13,1,62,0
8ecec0ac235d3fd10cd163bf60cb5c7e,15,uslugi-firmy,usługi dekarskie,40,0,1,0
ac12482b86c2f743b1633ab1a9a84407,6,dom-ogrod,sera do,2,0,42,0
ef9a28517cde46f8d7ba7d070c80c4ac,7,motoryzacja,,2,2,14,0
2edf6e1ad6b10d66f2bea80f6f48b450,17,motoryzacja,,64,2,46,4
7f332fad5b0140c03c52fcfd9a5425cb,14,motoryzacja,fiat multipla,18,0,47,1
3cf05f8aab9c5d2d6b3482888274d355,8,sport-hobby,scott,270,0,2404,19
2f8336a1b74a33396a6434d610562c7f,4,nieruchomosci,domki nad jeziorem,1,0,220,0
537287feda1c94b966ab35dc87f4aa8c,19,uslugi-firmy,montaż ogrodzeń,18,0,10,4
f7e462d055d3e26296efd8950fa5c0fa,17,motoryzacja,samochody osobowe do 40000,1,0,0,0
b9722f8f033d97b8e90753de03340a98,11,sport-hobby,rower btwin 16,29,0,40,2
ab98e96086ef0bc693fcbfc1da710634,8,dla-dzieci,,18,2,41,2
2d55da044ebcad386d183ce2bcba697c,6,rolnictwo,,16,1,519,2
f7afeb10c0b1f1a59a2accb5a99adde5,6,rolnictwo,,76,2,84,1
cb1d7fb81e2176d0f61d6dade2c8aa7b,7,nieruchomosci,za odstępne,12,0,2,0
634cfae6c83a4ce1530a44fe84c9b3e8,12,motoryzacja,wtryski citroen jumper,1,0,55,0
dec9dce82f657817cd8002969cd254d4,20,moda,Boll,6,0,640,1
8d11633289fd83018dc6a660de0dcf82,21,motoryzacja,master l3h2,15,0,602,2
0b757be7e5ccf7813ad28d428ea85819,17,motoryzacja,lpg citroen  c5 kombi,98,0,69,0
9d5212dab76c22c24030f3ba13767c3d,20,motoryzacja,"do 3,5t",1,0,628,0
c9caf8b77d79b9480d418dc658aa13a8,20,nieruchomosci,,7,0,98,1
8337590cbc0cfbee5fff4a3064f0693b,14,praca,praca,4,0,13,1
58a06c101cfe51dd6de05595513bd0ff,19,moda,szpilki,10,2,2313,0
1102dfd95814a5c2e22e0512340b574b,11,motoryzacja,,15,6,271,2
a018a8f351798610c858cf2585fdaa1b,11,motoryzacja,,8,4,61,0
5eb5d01c496e73c5aa60ea743aac6c5f,8,rolnictwo,case international,18,0,65,1
23ce5029cb473425db45455041b58dc1,10,motoryzacja,Frytkownica,1,0,0,0
c1afd35f75f0a78970fa0cfc35602012,8,motoryzacja,,1,7,4,0
dbec7b11cb7b444848668542b76bd258,4,praca,,28,0,44,4
7f6e356e02d4c5e8b94e1c8f9fd65c73,15,nieruchomosci,,11,0,0,0
33b3a71f32ecacb5ea76f76a3c171f86,12,motoryzacja,bmw,21,0,2660,0
6fceb9bc1aa4250f73aeb1d1d63347d6,9,nieruchomosci,,8,0,7,1
4ff8584ae5d67e192e260fe12c03efcb,13,dom-ogrod,gołańcz,1,0,53,0
49b5923f6f40ae14db1dd27050d41235,7,motoryzacja,,1,4,110,0
7cd5aa430550a7612000b834cf8b8b7a,18,dom-ogrod,grubościówka,2,0,1,0
6b3f79fe7b92e83d1632ada4e10ba26e,13,praca,,13,1,99,1
96f5d130503b99ecc4f9c7056515b629,16,dom-ogrod,furtka,1,0,1038,0
cd1a462af125de3bf6735d05b2246943,8,rolnictwo,,7,1,7,1
0da6fdbc1bfc7a5f5116568a210f4a21,19,oddam-za-darmo,,18,0,25,0
db54dee3a0b747b30f51657aba42c4c5,17,elektronika,iphone 7 plus,18,0,24,2
68b725239ba428f166f5d8a560d83ac5,15,motoryzacja,gaz,72,0,812,2
303780d22829601cc58eb11c4cf6198e,11,sport-hobby,Boiler,1,0,0,0
47ef159baababc7784b91e409c77d220,8,moda,celine,1,0,259,0
372793da08717fdea662905bec9ce966,11,motoryzacja,,18,2,21,1
04ee3294c521c86c3b2642467024fa9f,15,motoryzacja,golf 5,1,0,5446,0
667c970af6770ecb468ab4d5ae23596e,12,sport-hobby,,5,1,5946,0
ae84ce09ddac3cd1719e035d8940629f,17,motoryzacja,,89,5,37,0
7b8446e6b22773dbe4e622c537e32f2d,15,dom-ogrod,,15,1,1416,1
7b4279157af49ac29b62e876ed76e3fc,14,motoryzacja,,44,1,661,0
580abb95ca9edf7c7c84cfc8b19e3f50,5,motoryzacja,bmw,3,0,127,0
6cc9da907cb84cb245fce8b820f9e5e8,14,motoryzacja,,16,3,4014,1
0e16b6a8c545efd4d2e007171f162d95,19,motoryzacja,Movano,20,1,102,0
73222b93413e65f2fe1762e9f269d8eb,22,nieruchomosci,,29,1,149,3
89ce5e54226c0f4b508dc23cdfa61e24,18,rolnictwo,przyczepa,99,0,190,5
0a5ac71358c5e55f17a978ef048f9184,14,praca,,27,0,1,1
d2939130076003da12f1db1fd874dd92,21,motoryzacja,Mz,1,0,6,0
b408d6dafcebc8078f98fa97cba84620,17,nieruchomosci,,1,0,5,0
885d869d9f4a04ea0f868798885f82b3,22,moda,sukienka dekolt,25,0,4550,0
69ede8a9d0ef277a7d7e67ac6279eb18,5,zwierzeta,kanarki,3,0,497,0
bb4903407a6e1efadad2fd62337de100,5,sport-hobby,rower damski używany,1,0,4543,0
50d8a59858157dabd5366c27dc2f1acd,14,praca,sprzątanie warszawa,9,0,507,2
48a334fd2dbec2d3d6d6744ef828cca8,10,nieruchomosci,,148,1,58,0
f2bb1d2908d3b152d6e4fc15bf06e76f,17,zwierzeta,miniaturki,1,0,0,0
1fd353ea04cb71d8d99141a6c102b780,17,motoryzacja,,2,2,939,0
4c973ed53c5e2882c0a22a97d5f33519,16,elektronika,ps 2,12,0,23,1
2925692011aa65df41876521f770a7ad,16,dla-dzieci,besafe,6,0,5,1
14fb6ae44979fd9921901786d9f6ea43,4,motoryzacja,citroen berlingo,57,0,1262,0
b418d784999f7fd0bf84bcf5adcd2c01,17,praca,,17,0,38,4
d516367ffe425d887ab29c21af3e3b20,17,praca,,1,1,12,0
af801b65df75de28fca0446253cbe039,13,elektronika,hp do gier,3,0,84,0
d9a511fadc5b91de6db0955e42a70e63,16,motoryzacja,,23,2,124,2
98260567eaf4db7b6f9eb796a3703700,23,motoryzacja,,23,2,226,0
924a4eee9dd9e7d29ab1d7f248955bfa,17,nieruchomosci,ogłoszenia,1,0,0,0
04dbbfb64b0d094072a54a25936a0f43,21,nieruchomosci,do generalnego remontu,1,0,0,0
3c9e04e3a7062848aeacc2ba8b197637,19,motoryzacja,,29,2,8,0
f3b11fbcb43bfd28f086bcb7b6e9208e,5,motoryzacja,,49,4,1550,0
5209f15eb983572e6eaa3c9978104e92,14,sport-hobby,rower 24,11,0,609,0
6938b415371ae8cf16393134af124e4c,16,motoryzacja,,23,3,7,1
b96f8a3f17ccc9f7ec616362682c090f,18,motoryzacja,,6,5,444,0
ca9bfa38214c220c7f168ca931a9cd89,11,dla-dzieci,next  sukienka kwiaty  164,1,0,0,0
